brand,breadcrumbs,colour,description,image_urls,price,primary_image_url,product_id,product_name,product_url,reviews,sizes,sku
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC TrueNature Golf Polo Shirt",Halo Gold,"Machine wash on a cold delicate cycle, mild detergent only, do not bleach, do not tumble dry, do not dry clean, do not use fabric softener Composition: 73% PA6-REC, 27% elastane","//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22735-Edit.jpg?v=1744251072&width=1000,//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22723-Edit_dfce7d95-57e4-41f0-bb2c-dc49bb0a5f45.jpg?v=1744251072&width=1000,//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22758-Edit.jpg?v=1744251072&width=1000,//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22766-Edit.jpg?v=1744251072&width=1000,//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22752-Edit.jpg?v=1744251072&width=1000",$130.00 USD,//carbon38.com/cdn/shop/files/ADID-JG1010-GLDGOLD-aSMC-TrueNature-Golf-Polo-Shirt-color-Halo-Gold_22735-Edit.jpg?v=1744251072&width=1000,7857307091133,aSMC TrueNature Golf Polo Shirt,https://carbon38.com/products/asmc-truenature-golf-polo-shirt-halo-gold,0,"XS,S,M,L,XL",ADID-JG1010-GLDGOLD-XS
NORMA KAMALI,"Home,Shop All,Tops,Sleeveless Slim Fit Cropped Top",Asparagus,"Hand wash in cool water with like colors, do not bleach, lay flat to dry, do not dry clean.","//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27530-Edit.jpg?v=1746231224&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27518-Edit.jpg?v=1749789117&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27623-Edit.jpg?v=1749789117&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27543-Edit.jpg?v=1746231224&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27550-Edit.jpg?v=1746231224&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27557-Edit.jpg?v=1746231224&width=1000",$200.00 USD,//carbon38.com/cdn/shop/files/NORMA-ST1256SQP16834-GRNGRNLT-Sleeveless-Slim-Fit-Cropped-Top-color-Asparagus_27530-Edit.jpg?v=1746231224&width=1000,7924017201341,Sleeveless Slim Fit Cropped Top,https://carbon38.com/products/sleeveless-slim-fit-cropped-top-asparagus,0,"XS,S,M,L,XL",NORMA-ST1256SQP16834-GRNGRNLT-XS
THE UPSIDE,"Home,Shop All,Tops,Canyon Freida Knit Fringe Top",Natural,,"//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7146-Edit.jpg?v=1746726973&width=1000,//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7140-Edit.jpg?v=1746727066&width=1000,//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7156-Edit.jpg?v=1746727086&width=1000,//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7163-Edit.jpg?v=1746727086&width=1000,//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7168-Edit.jpg?v=1746727087&width=1000",$120.00 USD,//carbon38.com/cdn/shop/files/THEU-USW225035-NUDENUDLT-Canyon-Freida-Knit-Fringe-Top-color-Natural_7146-Edit.jpg?v=1746726973&width=1000,7910525927613,Canyon Freida Knit Fringe Top,https://carbon38.com/products/canyon-freida-knit-fringe-top-natural,0,"XS,S,M,L",THEU-USW225035-NUDENUDLT-XS
HERSKIND,"Home,Shop All,Tops,Gabrielle Knit Cape",Creme,Introducing the Gabrielle Knit Cape: A knitted cape with two long pieces of fabric that you can tie to keep the cape closed at the top. The cape is designed to be worn open both at the front and the back.,"//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13201-Edit.jpg?v=1744246219&width=1000,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13179-Edit.jpg?v=1744246219&width=1000,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13226-Edit.jpg?v=1744246219&width=1000,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13211-Edit.jpg?v=1744246219&width=1000,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13219-Edit.jpg?v=1744246219&width=1000,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13243-Edit.jpg?v=1744246192&width=1000",$250.00 USD,//carbon38.com/cdn/shop/files/HERSK-5517910-NUDENUDDRK-Gabrielle-Knit-Cape-color-Creme_13201-Edit.jpg?v=1744246219&width=1000,7898568130749,Gabrielle Knit Cape,https://carbon38.com/products/gabrielle-knit-cape-creme,0,OS,HERSK-5517910-NUDENUDDRK-OS
NORMA KAMALI,"Home,Shop All,Tops,Super Oversized Boyfriend NK Shirt Bodysuit",Snow White,,"//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24610-Edit.jpg?v=1744393858&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24642-Edit.jpg?v=1744393959&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24615-Edit.jpg?v=1744393959&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24627-Edit.jpg?v=1744393959&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24632-Edit.jpg?v=1744393959&width=1000",$265.00 USD,//carbon38.com/cdn/shop/files/NORMA-ST125BCB183944-WHTWHI-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Snow-White_24610-Edit.jpg?v=1744393858&width=1000,7892298531005,Super Oversized Boyfriend NK Shirt Bodysuit,https://carbon38.com/products/super-oversized-boyfriend-nk-shirt-bodysuit-snow-white,0,"XS,S,M,L,XL",NORMA-ST125BCB183944-WHTWHI-XS
CARBON38,"Home,Shop All,Tops,Wide Scoop Bra Tank in Melt",White,81% Nylon 19% Spandex. MACHINE WASH COLD WITH OTHERR LIKE COLORS. DO NOT BLEACH. HANG TO DRY. DO NOT IRON. DO NOT DRY CLEAN.,"//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0437.jpg?v=1680737603&width=1000,//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0449.jpg?v=1680737603&width=1000,//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0417.jpg?v=1680737603&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-WHT-22SM-Wide-Scoop-Bra-Tank-color-White_14818.jpg?v=1700616200&width=1000,//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0465.jpg?v=1700616200&width=1000,//carbon38.com/cdn/shop/files/WHITE-MELT_0097-Edit.jpg?v=1741306615&width=1000,//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-Wide-Scoop-Bra-Tank-In-Melt-color-WHITE0578.jpg?v=1741306600&width=1000",$98.00 USD,//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0437.jpg?v=1680737603&width=1000,7329508688061,Wide Scoop Bra Tank in Melt,https://carbon38.com/products/wide-scoop-bra-tank-white,0,"XS,S,M,L,XL",CARB-YD640-WHT-22SM-XS
NORMA KAMALI,"Home,Shop All,Tops,Long Sleeve Deep V Ruffle Bodysuit",Black,"Wash in cold water with like colors, only non-chlorine bleach as needed, lay flat to dry, cool iron only, do not dry clean.","//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24561-Edit.jpg?v=1744392586&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24589-Edit.jpg?v=1744392586&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24574-Edit.jpg?v=1744392586&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24605-Edit.jpg?v=1744392586&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24555-Edit.jpg?v=1744392586&width=1000",$195.00 USD,//carbon38.com/cdn/shop/files/NORMA-KK125BPLO85001-BLKBLK-Long-Sleeve-Deep-V-Ruffle-Bodysuit-color-Black_24561-Edit.jpg?v=1744392586&width=1000,7892211171517,Long Sleeve Deep V Ruffle Bodysuit,https://carbon38.com/products/long-sleeve-deep-v-ruffle-bodysuit-black,0,"XS,S,M,L,XL",NORMA-KK125BPLO85001-BLKBLK-XS
,"Home,Shop All,Tops,Art Tank Top",Black,"Fabrics: Powerstretch interlock, moisture management, quick dry and anti-odour","//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9201-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9223-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9219-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9216-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9212-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9209-Edit.jpg?v=1741901884&width=1000,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9196-Edit.jpg?v=1741901884&width=1000",$179.00 USD,//carbon38.com/cdn/shop/files/GOLD-GB350-34-251-BLKBLK-Art-color-Black_9201-Edit.jpg?v=1741901884&width=1000,7901238853821,Art Tank Top,https://carbon38.com/products/art-black,0,"XS,S,M,L,XL",GOLD-GB350-34-251-BLKBLK-XS
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC Mock Neck Sleeves",Black,"79% recycled polyester, 21% recycled spandex","//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0913-Edit.jpg?v=1740789900&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0904-Edit_e24f5d97-56a7-4db2-a25e-291bdd5f2a85.jpg?v=1740789900&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0928-Edit.jpg?v=1740789900&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0923-Edit.jpg?v=1740789898&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0934-Edit.jpg?v=1740789894&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0941-Edit.jpg?v=1740789894&width=1000,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0949-Edit_ec9efebf-a607-4ad2-b08d-139243f45737.jpg?v=1740789894&width=1000",$80.00 USD,//carbon38.com/cdn/shop/files/ADID-JN0225-BLKBLK-aSMC-Mock-Neck-Sleeves-color-Black_0913-Edit.jpg?v=1740789900&width=1000,7849177645245,aSMC Mock Neck Sleeves,https://carbon38.com/products/asmc-mock-neck-sleeves-black,0,"XS,S,M,L,XL",ADID-JN0225-BLKBLK-XS
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC Two-Tone Zipped Crop",Black/Carbon,"79% polyester (recycled), 21% elastane (recycled)","//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0972-Edit.jpg?v=1740786439&width=1000,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0987-Edit.jpg?v=1748454721&width=1000,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0962-Edit.jpg?v=1748454721&width=1000,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0981-Edit.jpg?v=1748454721&width=1000,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0991-Edit.jpg?v=1740786424&width=1000,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0999-Edit.jpg?v=1740786424&width=1000",$90.00 USD,//carbon38.com/cdn/shop/files/ADID-JM0301-BLKBLK-aSMC-Two-Tone-Zipped-Crop-color-Black-Carbon_0972-Edit.jpg?v=1740786439&width=1000,7849986490557,aSMC Two-Tone Zipped Crop,https://carbon38.com/products/asmc-two-tone-zipped-crop-black-carbon,0,"XS,S,M,L,XL",ADID-JM0301-BLKBLK-XS
CARBON38,"Home,Shop All,Tops,Bell Sleeve Off Shoulder Sweater",Bittersweet,51% VISCOSE 21% NYLON 28% PBT ,"//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9508-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9474-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9482-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9488-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9498-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9503-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9524-Edit.jpg?v=1734559050&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_8356-Edit.jpg?v=1734559050&width=1000",$134.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6154-RED-25SS-Bell-Sleeve-Off-Shoulder-Sweater-color-Bittersweet_9508-Edit.jpg?v=1734559050&width=1000,7863820353725,Bell Sleeve Off Shoulder Sweater,https://carbon38.com/products/bell-sleeve-off-shoulder-sweater-bittersweet,0,"XS,S,M,L,XL",CARB-YD6154-RED-25SS-XS
CARBON38,"Home,Shop All,Tops,Strappy Tank in Melt",Bittersweet,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5764-Edit.jpg?v=1738711336&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5778-Edit.jpg?v=1738711345&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5769-Edit.jpg?v=1738711345&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5770-Edit.jpg?v=1738711345&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5793-Edit_cb41ca93-54af-49d9-986c-a51c60272318.jpg?v=1738711345&width=1000,//carbon38.com/cdn/shop/files/BITTERSWEET-MELT_19166-Edit.jpg?v=1742401839&width=1000,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_6377-Edit.jpg?v=1742401827&width=1000",$92.00 USD,//carbon38.com/cdn/shop/files/CARB-YD338-RED-25SS-Strappy-Tank-in-Melt-color-Bittersweet_5764-Edit.jpg?v=1738711336&width=1000,7861757083837,Strappy Tank in Melt,https://carbon38.com/products/strappy-tank-in-melt-bittersweet,0,"XS,S,M,L,XL",CARB-YD338-RED-25SS-XS
NORMA KAMALI,"Home,Shop All,Tops,Oversized Raglan Sleeve Hooded Cropped Top W/ Mesh",Tiger Red,"Machine wash cold, gentle cycle, tumble dry low, cool iron, do not dry clean.","//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27802-Edit.jpg?v=1746230220&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27826-Edit.jpg?v=1746230220&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27810-Edit.jpg?v=1746230220&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27815-Edit.jpg?v=1746230220&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27790-Edit.jpg?v=1746230220&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27941-Edit.jpg?v=1746230165&width=1000",$250.00 USD,//carbon38.com/cdn/shop/files/NORMA-ST2256TMQ60946-REDREDDRK-Oversized-Raglan-Sleeve-Hooded-Cropped-Top-W-Mesh-color-Tiger-Red_27802-Edit.jpg?v=1746230220&width=1000,7939355181245,Oversized Raglan Sleeve Hooded Cropped Top W/ Mesh,https://carbon38.com/products/oversized-raglan-sleeve-hooded-cropped-top-w-mesh-tiger-red,0,"XS,S,M,L,XL",NORMA-ST2256TMQ60946-REDREDDRK-XS
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC TrueCasuals Cropped Sportswear Sweatshirt",Active Red,100% cotton (organic),"//carbon38.com/cdn/shop/files/ADID-JJ2574-REDRED-aSMC-trueCasuals-Cropped-Sportswear-Sweatshirt-color-Active-Red_10996-Edit.jpg?v=1749155704&width=1000,//carbon38.com/cdn/shop/files/ADID-JJ2574-REDRED-aSMC-trueCasuals-Cropped-Sportswear-Sweatshirt-color-Active-Red_11028-Edit.jpg?v=1749155707&width=1000,//carbon38.com/cdn/shop/files/ADID-JJ2574-REDRED-aSMC-trueCasuals-Cropped-Sportswear-Sweatshirt-color-Active-Red_11003-Edit.jpg?v=1749155707&width=1000,//carbon38.com/cdn/shop/files/ADID-JJ2574-REDRED-aSMC-trueCasuals-Cropped-Sportswear-Sweatshirt-color-Active-Red_11013-Edit.jpg?v=1749155707&width=1000",$90.00 USD,//carbon38.com/cdn/shop/files/ADID-JJ2574-REDRED-aSMC-trueCasuals-Cropped-Sportswear-Sweatshirt-color-Active-Red_10996-Edit.jpg?v=1749155704&width=1000,,aSMC TrueCasuals Cropped Sportswear Sweatshirt,https://carbon38.com/products/asmc-truecasuals-cropped-sportswear-sweatshirt-active-red,0,"XS,S,M,L",
CARBON38,"Home,Shop All,Tops,Long RacerBack Tank",Rosewood,"50% Cotton, 50% Modal. Machine wash cold with like colors.","//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33965-Edit.jpg?v=1748383789&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33984-Edit.jpg?v=1748383800&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33972-Edit.jpg?v=1748383800&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33989-Edit.jpg?v=1748383800&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33987-Edit.jpg?v=1748383800&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_34580-Edit.jpg?v=1748383789&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD335-RSECHA-25SM-Long-RacerBack-Tank-color-rosewood_33965-Edit.jpg?v=1748383789&width=1000,7984436969661,Long RacerBack Tank,https://carbon38.com/products/long-racerback-tank-rose-of-sharon,0,"XS,S,M,L,XL",CARB-YD335-RSECHA-25SM-XS
CARBON38,"Home,Shop All,Tops,Colorblock Scoop Tank in Melt",Rosewood / White,"The Colorblock Scoop Tank in Melt from Carbon38 features a sleek, modern design with bold color blocking and a flattering scoop neckline. Crafted from our best-selling fabrication, melt, this tank offers both style and functionality, perfect for layering or wearing solo during workouts or casual outings. ","//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34656-Edit.jpg?v=1748387914&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34648-Edit.jpg?v=1748387914&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34664-Edit.jpg?v=1748387914&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34671-Edit.jpg?v=1748387914&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34676-Edit.jpg?v=1748387914&width=1000,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34613-Edit.jpg?v=1748387914&width=1000",$108.00 USD,//carbon38.com/cdn/shop/files/CARB-YD371-PNK-25SM-Colorblock-Scoop-Tank-color-ROSEWOOD-White_34656-Edit.jpg?v=1748387914&width=1000,7932841427133,Colorblock Scoop Tank in Melt,https://carbon38.com/products/colorblock-scoop-tank-rose-of-sharon-white,0,"XS,S,M,L,XL",CARB-YD371-PNK-25SM-XS
CARBON38,"Home,Shop All,Tops,Front Twist Tank",Lotus,The Carbon38 essential Front Twist Tank is the perfect versatile tank. Dress it up with our Mesh Pleated Skirt. Pair it with any of our leggings in Ribbed Melt or Takara for a great workout set.,"//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9750-Edit_bd036fd4-0eff-4ee0-a4a0-8a3056f9da6b.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9796-Edit_6c69c82b-222e-42f0-917a-b44c3944c005.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9764-Edit_dce1efbf-3d23-475c-b438-c2f87a748ece.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9769-Edit_f5483bee-bfb4-4064-a478-05ab368d48db.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9774-Edit_765dfb1b-d7f2-4dd4-84ab-1d44463ad2c3.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9742-Edit_bbded531-02f8-4b07-9f84-695a094dad44.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9503-Edit_986781be-f3f3-4215-8f37-5966c9d551a6.jpg?v=1745515338&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9496-Edit_db537ac5-06cf-4084-8d66-b88bf36bc232.jpg?v=1745515338&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6053-LOTUS-25SM-Front-Twist-Tank-color-Lotus_9750-Edit_bd036fd4-0eff-4ee0-a4a0-8a3056f9da6b.jpg?v=1745515338&width=1000,7955878969533,Front Twist Tank,https://carbon38.com/products/jersey-tank-lotus,0,"XS,S,M,L,XL",CARB-YD6053-LOTUS-25SM-XS
